,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
698,"Census Tract 426.01, San Francisco County, California",57472,71196,(X),-,46010,-,-,-,28478,72786,(X),(X),(X),(X),2015,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
699,"Census Tract 426.01, San Francisco County, California",70100,83170,-,-,50909,-,-,-,-,83750,-,84565,70938,42969,2016,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
700,"Census Tract 426.01, San Francisco County, California",81815,92891,-,-,62782,-,-,-,80795,93255,106364,115987,81125,36700,2017,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
701,"Census Tract 426.01, San Francisco County, California",84805,101875,20799,-,62031,-,-,-,79500,106750,-,137941,86667,38750,2018,426.01,"POLYGON ((-122.48408 37.785795, -122.478714 37.786031, -122.478579 37.784174, -122.478444 37.782308, -122.47831 37.780449, -122.479388 37.780403, -122.482598 37.780265, -122.483667 37.780207, -122.483804 37.782077, -122.483936 37.783931, -122.48408 37.785795))"
702,"Census Tract 426.02, San Francisco County, California",66779,80741,-,-,63036,-,-,-,48798,81296,-,74803,85368,40865,2013,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
703,"Census Tract 426.02, San Francisco County, California",81341,101858,-,-,74926,-,-,-,49144,103750,-,100845,103906,39643,2014,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
704,"Census Tract 426.02, San Francisco County, California",72819,74167,-,-,61979,-,-,12404,39615,74387,28269,52297,86719,50833,2010,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
705,"Census Tract 426.02, San Francisco County, California",63203,75800,-,-,51190,75114,-,-,-,75800,28068,51801,87833,38286,2011,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
706,"Census Tract 426.02, San Francisco County, California",65750,80081,-,-,47473,77933,-,62727,49000,80444,23250,70469,86641,40786,2012,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
707,"Census Tract 426.02, San Francisco County, California",82013,102297,-,-,81447,-,-,51574,49308,105913,-,99643,103750,62639,2015,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
708,"Census Tract 426.02, San Francisco County, California",104943,125375,-,-,87401,-,-,51667,83864,128542,-,142688,107639,68992,2016,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
709,"Census Tract 426.02, San Francisco County, California",113258,131637,-,-,110132,-,-,50625,98315,139063,-,145263,142500,69321,2017,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
710,"Census Tract 426.02, San Francisco County, California",128375,146563,-,-,104250,-,-,53007,101413,152303,-,150568,165909,90795,2018,426.02,"POLYGON ((-122.478714 37.786031, -122.472583 37.786317, -122.472516 37.784453, -122.472379 37.782581, -122.472264 37.780747, -122.47831 37.780449, -122.478444 37.782308, -122.478579 37.784174, -122.478714 37.786031))"
711,"Census Tract 477.01, San Francisco County, California",70909,80109,78275,-,55417,71250,-,82222,58125,80815,-,90685,71111,31705,2013,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
712,"Census Tract 477.01, San Francisco County, California",72817,82023,25313,-,65162,-,-,84844,51875,82295,-,106638,73594,29922,2014,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
713,"Census Tract 477.01, San Francisco County, California",61647,72852,49901,53750,54688,12105,74318,15139,74327,72143,41068,73734,71667,29500,2010,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
714,"Census Tract 477.01, San Francisco County, California",63651,72222,49659,67656,59063,11719,76292,75833,75382,73235,43472,77443,63167,33235,2011,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
715,"Census Tract 477.01, San Francisco County, California",66136,70000,78214,-,58333,12422,-,80375,59087,75556,42933,80227,69875,32500,2012,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
716,"Census Tract 477.01, San Francisco County, California",74412,81331,25625,-,66859,-,-,84250,(X),81935,89750,112826,69219,33333,2015,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
717,"Census Tract 477.01, San Francisco County, California",72981,83583,-,-,65781,-,-,-,-,84063,107667,94551,82854,34808,2016,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
718,"Census Tract 477.01, San Francisco County, California",82734,90865,-,-,71125,-,-,-,-,92361,93036,109583,85862,31544,2017,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
719,"Census Tract 477.01, San Francisco County, California",86848,93472,-,-,73920,-,-,113661,92656,94079,-,113368,73250,37083,2018,477.01,"POLYGON ((-122.489019 37.779977, -122.483667 37.780207, -122.482598 37.780265, -122.479388 37.780403, -122.479241 37.778408, -122.479106 37.776546, -122.482318 37.7764, -122.488741 37.776107, -122.488876 37.777972, -122.489019 37.779977))"
720,"Census Tract 477.02, San Francisco County, California",85464,64417,-,-,101212,-,34440,140694,95368,62667,16477,96765,109375,41250,2013,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
721,"Census Tract 477.02, San Francisco County, California",82986,61544,-,-,101667,-,-,-,99423,58281,34750,105536,96923,47929,2014,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
722,"Census Tract 477.02, San Francisco County, California",86894,86063,-,-,91875,-,31667,107143,67396,86125,12422,95884,123913,21719,2010,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
723,"Census Tract 477.02, San Francisco County, California",92682,89250,-,-,94152,-,31510,150167,180682,88563,15455,99375,126477,22690,2011,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
724,"Census Tract 477.02, San Francisco County, California",73424,63529,-,-,85156,-,31635,110972,185417,62647,11719,100500,111172,23636,2012,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
725,"Census Tract 477.02, San Francisco County, California",72930,60917,-,-,77135,-,-,-,98264,56910,45625,83333,88289,53239,2015,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
726,"Census Tract 477.02, San Francisco County, California",85769,85625,-,-,79722,-,-,218500,98929,73083,45833,117976,92545,53938,2016,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
727,"Census Tract 477.02, San Francisco County, California",96823,105938,-,-,81500,-,-,-,110972,97679,48802,125469,116625,49550,2017,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
728,"Census Tract 477.02, San Francisco County, California",98958,109028,-,-,75469,-,-,-,119625,102143,-,130658,113472,51736,2018,477.02,"POLYGON ((-122.488741 37.776107, -122.482318 37.7764, -122.479106 37.776546, -122.478972 37.774681, -122.478837 37.772815, -122.482049 37.772667, -122.488471 37.772374, -122.488606 37.774241, -122.488741 37.776107))"
729,"Census Tract 478.01, San Francisco County, California",76572,65847,-,-,83197,-,71250,116875,21384,66532,30156,85341,76600,65441,2013,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
730,"Census Tract 478.01, San Francisco County, California",85739,85333,-,-,86618,-,73295,35938,21750,83125,20357,93558,104886,62734,2014,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
731,"Census Tract 478.01, San Francisco County, California",78056,80307,-,-,48828,-,109833,150787,122438,72031,-,101213,60260,59107,2010,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
732,"Census Tract 478.01, San Francisco County, California",73545,70664,-,-,72623,-,-,155711,130625,68654,-,105031,67147,71696,2011,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
733,"Census Tract 478.01, San Francisco County, California",68194,64263,-,-,68977,-,70625,125667,20625,64679,21607,84621,67652,61458,2012,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
734,"Census Tract 478.01, San Francisco County, California",79130,79766,103229,-,85958,-,-,(X),20500,83828,21250,87065,113500,52339,2015,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
735,"Census Tract 478.01, San Francisco County, California",92881,97578,84375,-,93958,-,-,-,-,95714,-,93714,123026,56250,2016,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
736,"Census Tract 478.01, San Francisco County, California",102083,115714,-,-,95156,-,-,75625,-,115179,-,105962,127260,56250,2017,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
737,"Census Tract 478.01, San Francisco County, California",108525,129375,-,-,97522,-,-,-,-,129046,-,143375,123105,58456,2018,478.01,"POLYGON ((-122.497455 37.777579, -122.493168 37.777774, -122.493305 37.77975199999999, -122.491172 37.779869, -122.489019 37.779977, -122.488876 37.777972, -122.488741 37.776107, -122.488606 37.774241, -122.488471 37.772374, -122.494903 37.772081, -122.495039 37.773947, -122.495175 37.775813, -122.497319 37.775715, -122.497455 37.777579))"
738,"Census Tract 478.02, San Francisco County, California",79250,71630,-,-,92708,-,96136,49735,49129,71087,21058,88359,95050,56875,2013,478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))"
739,"Census Tract 478.02, San Francisco County, California",59458,53533,-,-,70714,-,96364,49440,48017,54022,21716,54783,78289,41471,2014,478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))"
740,"Census Tract 478.02, San Francisco County, California",86563,58750,56007,-,93306,-,-,53281,-,58750,22206,90269,94306,36406,2010,478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))"
741,"Census Tract 478.02, San Francisco County, California",88289,52099,-,-,95777,-,-,52875,-,52099,22206,56848,101771,45972,2011,478.02,"POLYGON ((-122.498801 37.781377, -122.493446 37.781627, -122.493305 37.77975199999999, -122.493168 37.777774, -122.497455 37.777579, -122.497319 37.775715, -122.495175 37.775813, -122.495039 37.773947, -122.494903 37.772081, -122.498114 37.771934, -122.49825 37.7738, -122.498386 37.775667, -122.498521 37.777531, -122.498669 37.779507, -122.498801 37.781377))"
